 TIME, RATES AND OIL PRESSURES
   TIME   PL      P( 1)   P( 2)   P( 3)   P( 4)   P( 5)   P( 6)   P( 7)   P( 8)   P( 9)   P(10)   P(11)   P(12)   P(13)   P(14)   P(15)   P(16)   P(17)   P(18)   P(19)   P(20)   P(21)   P(22)   P(23)   P(24)   P(25)   P(26)   P(27)   P(28)   P(29)   P(30)   P(31)   P(32)   P(33)   P(34)   P(35)   P(36)   P(37)   P(38)   P(39)   P(40)   P(41)   P(42)   P(44)   P(44)   P(45)   P(46)   P(47)   P(48)   P(49)   P(50)   PR      
   36.00  214.33  214.07  213.54  213.00  212.39  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.60  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   37.00  214.35  214.09  213.56  213.02  212.43  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   38.00  214.39  214.13  213.60  213.06  212.48  212.05  211.78  211.52  211.25  210.98  210.72  210.45  210.19  209.92  209.66  209.39  209.12  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.35  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   39.00  214.45  214.18  213.66  213.12  212.55  212.05  211.78  211.51  211.25  210.98  210.72  210.45  210.19  209.92  209.65  209.39  209.12  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.35  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   40.00  214.46  214.20  213.67  213.13  212.57  212.05  211.78  211.52  211.25  210.98  210.72  210.45  210.19  209.92  209.66  209.39  209.12  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.35  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   41.00  214.49  214.22  213.70  213.16  212.61  212.05  211.78  211.52  211.25  210.98  210.72  210.45  210.19  209.92  209.66  209.39  209.12  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   42.00  214.53  214.26  213.73  213.20  212.65  212.06  211.78  211.52  211.25  210.98  210.72  210.45  210.19  209.92  209.65  209.39  209.12  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.35  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   43.00  214.55  214.28  213.76  213.22  212.68  212.06  211.78  211.52  211.25  210.98  210.72  210.45  210.19  209.92  209.66  209.39  209.12  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.35  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   44.00  214.57  214.30  213.78  213.24  212.70  212.07  211.78  211.52  211.25  210.98  210.72  210.45  210.19  209.92  209.66  209.39  209.12  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   45.00  214.59  214.32  213.80  213.27  212.72  212.08  211.78  211.52  211.25  210.98  210.72  210.45  210.19  209.92  209.66  209.39  209.12  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
