 PRODUCTION/INJECTION RESULTS
   TIME   PL      QWI     PR       QOP      QWP     WC
  170.00  217.32  -25.00  200.00   16.67    0.00    0.00
  171.00  217.33  -25.00  200.00   16.67    0.00    0.00
  172.00  217.35  -25.00  200.00   16.67    0.00    0.00
  173.00  217.39  -25.00  200.00   16.66    0.00    0.00
  174.00  217.41  -25.00  200.00   16.67    0.00    0.00
  175.00  217.44  -25.00  200.00   16.67    0.00    0.00
  176.00  217.46  -25.00  200.00   16.67    0.00    0.00
  177.00  217.47  -25.00  200.00   16.68    0.00    0.00
  178.00  217.48  -25.00  200.00   16.67    0.00    0.00
  179.00  217.52  -25.00  200.00   16.66    0.00    0.00
  180.00  217.55  -25.00  200.00   16.66    0.00    0.00
  181.00  217.58  -25.00  200.00   16.67    0.00    0.00
  182.00  217.59  -25.00  200.00   16.67    0.00    0.00
  183.00  217.60  -25.00  200.00   16.68    0.00    0.00
  184.00  217.63  -25.00  200.00   16.67    0.00    0.00
  185.00  217.66  -25.00  200.00   16.66    0.00    0.00
  186.00  217.69  -25.00  200.00   16.66    0.00    0.00
  187.00  217.71  -25.00  200.00   16.67    0.00    0.00
  188.00  217.73  -25.00  200.00   16.67    0.00    0.00
  189.00  217.74  -25.00  200.00   16.67    0.00    0.00
  190.00  217.77  -25.00  200.00   16.66    0.00    0.00
  191.00  217.80  -25.00  200.00   16.66    0.00    0.00
  192.00  217.83  -25.00  200.00   16.66    0.00    0.00
  193.00  217.85  -25.00  200.00   16.67    0.00    0.00
  194.00  217.86  -25.00  200.00   16.67    0.00    0.00
  195.00  217.87  -25.00  200.00   16.67    0.00    0.00
  196.00  217.91  -25.00  200.00   16.66    0.00    0.00
  197.00  217.94  -25.00  200.00   16.66    0.00    0.00
  198.00  217.97  -25.00  200.00   16.66    0.00    0.00
  199.00  217.99  -25.00  200.00   16.67    0.00    0.00
  200.00  217.99  -25.00  200.00   16.67    0.00    0.00
  201.00  218.02  -25.00  200.00   16.67    0.00    0.00
  202.00  218.05  -25.00  200.00   16.66    0.00    0.00
