TIME,FGOR,FGPR,FGPT,FOPR,FOPT,FWCT,
3134.00,138.032,1.14416e+06,4.2408e+09,8289.12,2.80542e+07,0.0902334,
3165.00,140.396,1.16382e+06,4.27662e+09,8289.59,2.83112e+07,0.0920214,
3196.00,142.656,1.18282e+06,4.31303e+09,8291.43,2.85682e+07,0.0938792,
3226.00,144.879,1.20168e+06,4.34884e+09,8294.39,2.8817e+07,0.0957806,
3257.00,147.259,1.22198e+06,4.38646e+09,8298.18,2.90741e+07,0.0979841,
3287.00,149.483,1.24106e+06,4.42344e+09,8302.3,2.93232e+07,0.100125,
3318.00,151.766,1.26075e+06,4.46226e+09,8307.19,2.95806e+07,0.102381,
3341.00,153.439,1.27528e+06,4.49145e+09,8311.31,2.97717e+07,0.104061,
3349.00,153.688,1.27759e+06,4.50167e+09,8312.87,2.98382e+07,0.104568,
3378.00,156.011,1.29787e+06,4.53909e+09,8319.05,3.00794e+07,0.106817,
3409.00,158.165,1.31694e+06,4.57963e+09,8326.4,3.03374e+07,0.109078,
3439.00,159.821,1.33191e+06,4.61943e+09,8333.73,3.05874e+07,0.111092,
3470.00,162.363,1.35432e+06,4.66111e+09,8341.34,3.08458e+07,0.113542,
3500.00,164.087,1.36977e+06,4.70198e+09,8347.8,3.10962e+07,0.115588,
3531.00,165.765,1.38473e+06,4.74471e+09,8353.58,3.13551e+07,0.117847,
3558.00,167.661,1.4012e+06,4.78234e+09,8357.36,3.15807e+07,0.119854,
3559.00,167.786,1.40229e+06,4.78374e+09,8357.58,3.1589e+07,0.119973,
3562.00,168.105,1.405e+06,4.78795e+09,8357.86,3.16141e+07,0.120248,
3592.00,170.747,1.42758e+06,4.83032e+09,8360.8,3.18649e+07,0.122719,
3623.00,172.258,1.44055e+06,4.87473e+09,8362.75,3.21241e+07,0.124636,
3653.00,174.151,1.45651e+06,4.91822e+09,8363.47,3.2375e+07,0.126618,
3684.00,176.097,1.47274e+06,4.96365e+09,8363.22,3.26343e+07,0.128588,
3715.00,177.975,1.48825e+06,5.00961e+09,8362.09,3.28935e+07,0.130622,
3743.00,180.003,1.50506e+06,5.05145e+09,8361.3,3.31277e+07,0.132469,
3774.00,181.863,1.52049e+06,5.09838e+09,8360.66,3.33868e+07,0.134671,
3804.00,183.815,1.53674e+06,5.14427e+09,8360.21,3.36377e+07,0.13649,
3835.00,185.795,1.55318e+06,5.19219e+09,8359.63,3.38968e+07,0.138327,
3865.00,187.809,1.56991e+06,5.23908e+09,8359.11,3.41476e+07,0.140125,
3896.00,190.025,1.58847e+06,5.28807e+09,8359.25,3.44067e+07,0.142072,
3927.00,192.495,1.60934e+06,5.33768e+09,8360.41,3.46659e+07,0.144175,
3957.00,195.756,1.63952e+06,5.38642e+09,8375.37,3.49169e+07,0.146019,
3988.00,201.734,1.6898e+06,5.43813e+09,8376.37,3.51766e+07,0.148115,
4018.00,206.627,1.72442e+06,5.48948e+09,8345.56,3.54274e+07,0.150525,
4049.00,209.741,1.74456e+06,5.54329e+09,8317.71,3.56856e+07,0.153,
4080.00,211.871,1.76007e+06,5.59765e+09,8307.26,3.59432e+07,0.155244,
4108.00,214.743,1.78413e+06,5.64731e+09,8308.21,3.61758e+07,0.157703,
4139.00,218.157,1.81371e+06,5.70313e+09,8313.77,3.64335e+07,0.160471,
4169.00,221.566,1.84321e+06,5.75801e+09,8319,3.6683e+07,0.162823,
4200.00,226.961,1.88885e+06,5.81589e+09,8322.35,3.69409e+07,0.165412,
4230.00,232.522,1.9353e+06,5.87337e+09,8323.09,3.71906e+07,0.168045,
4261.00,238.353,1.98382e+06,5.93421e+09,8323.05,3.74486e+07,0.171356,
4292.00,243.798,2.02857e+06,5.99643e+09,8320.67,3.77066e+07,0.174966,
4322.00,246.888,2.05331e+06,6.05783e+09,8316.77,3.79562e+07,0.178096,
4353.00,253.41,2.10625e+06,6.1224e+09,8311.61,3.82139e+07,0.18265,
4383.00,258.127,2.14377e+06,6.18623e+09,8305.1,3.84631e+07,0.186878,
4414.00,262.659,2.17942e+06,6.25289e+09,8297.54,3.87205e+07,0.190939,
4445.00,267.307,2.21554e+06,6.32088e+09,8288.37,3.89775e+07,0.195255,
4473.00,271.18,2.24522e+06,6.38337e+09,8279.46,3.92094e+07,0.199133,
4504.00,276.174,2.28379e+06,6.45352e+09,8269.37,3.94659e+07,0.203603,
4534.00,280.1,2.31331e+06,6.52247e+09,8258.85,3.97138e+07,0.207577,
4565.00,285.603,2.35549e+06,6.59489e+09,8247.42,3.99697e+07,0.212436,
4595.00,290.27,2.39032e+06,6.66607e+09,8234.84,4.02169e+07,0.216625,
4626.00,294.692,2.42253e+06,6.74073e+09,8220.57,4.04719e+07,0.220989,
4657.00,299.928,2.46103e+06,6.81656e+09,8205.38,4.07265e+07,0.225697,
4687.00,305.155,2.49902e+06,6.89107e+09,8189.34,4.09723e+07,0.230428,
4718.00,309.078,2.52589e+06,6.96891e+09,8172.35,4.12259e+07,0.234689,
4748.00,312.602,2.54945e+06,7.04532e+09,8155.58,4.14708e+07,0.239147,
4779.00,318.017,2.58853e+06,7.12496e+09,8139.61,4.17233e+07,0.243189,
4810.00,322.307,2.61856e+06,7.20556e+09,8124.45,4.19754e+07,0.247025,
4839.00,323.884,2.62698e+06,7.28165e+09,8110.85,4.22108e+07,0.249933,
4870.00,334.118,2.70525e+06,7.36439e+09,8096.7,4.24619e+07,0.255679,
4900.00,338.83,2.73885e+06,7.44594e+09,8083.28,4.27046e+07,0.259383,
4931.00,346.532,2.79642e+06,7.53175e+09,8069.74,4.29549e+07,0.265703,
4961.00,350.775,2.82618e+06,7.61589e+09,8056.94,4.31968e+07,0.26989,
4992.00,357.327,2.87436e+06,7.70394e+09,8044.07,4.34463e+07,0.275183,
5023.00,362.325,2.91004e+06,7.7933e+09,8031.57,4.36955e+07,0.279511,
5053.00,365.044,2.92759e+06,7.8807e+09,8019.81,4.39362e+07,0.28234,
5084.00,373.956,2.99465e+06,7.97272e+09,8008.01,4.41846e+07,0.288786,
5114.00,377.42,3.01824e+06,8.0626e+09,7997.04,4.44247e+07,0.291947,
5145.00,382.741,3.05671e+06,8.15672e+09,7986.36,4.46724e+07,0.295794,
5176.00,392.927,3.13401e+06,8.25226e+09,7976.07,4.49198e+07,0.302289,
5204.00,398.518,3.17497e+06,8.3405e+09,7966.94,4.5143e+07,0.30627,
5235.00,403.253,3.20867e+06,8.43926e+09,7956.96,4.53898e+07,0.30958,
5265.00,405.639,3.22377e+06,8.53599e+09,7947.4,4.56283e+07,0.312015,
5296.00,416.223,3.30375e+06,8.63729e+09,7937.46,4.58745e+07,0.319139,
5326.00,419.102,3.32247e+06,8.73657e+09,7927.61,4.61125e+07,0.321687,
5357.00,424.108,3.35777e+06,8.84039e+09,7917.26,4.6358e+07,0.325981,
5388.00,430.725,3.40573e+06,8.9452e+09,7906.96,4.66033e+07,0.330246,
5418.00,436.006,3.4432e+06,9.04799e+09,7897.14,4.68403e+07,0.333819,
5449.00,442.059,3.48656e+06,9.15554e+09,7887.09,4.70849e+07,0.338006,
5479.00,449.031,3.53725e+06,9.26101e+09,7877.5,4.73214e+07,0.342221,
5510.00,456.863,3.59444e+06,9.37182e+09,7867.67,4.75654e+07,0.347347,
5541.00,465.235,3.65577e+06,9.48437e+09,7857.91,4.78091e+07,0.35196,
5569.00,470.15,3.69023e+06,9.58744e+09,7849.05,4.8029e+07,0.35478,
5600.00,479.316,3.75749e+06,9.70312e+09,7839.28,4.82722e+07,0.359738,
5630.00,486.298,3.80766e+06,9.8167e+09,7829.88,4.85072e+07,0.363532,
5661.00,495.039,3.87126e+06,9.93584e+09,7820.12,4.87497e+07,0.368176,
5691.00,502.371,3.92383e+06,1.00528e+10,7810.61,4.89842e+07,0.371996,
5722.00,510.429,3.98176e+06,1.01753e+10,7800.81,4.92261e+07,0.37612,
5753.00,518.168,4.03705e+06,1.02995e+10,7791.02,4.94678e+07,0.380212,
5783.00,525.609,4.09004e+06,1.04215e+10,7781.52,4.97013e+07,0.383741,
5814.00,535.466,4.16146e+06,1.05495e+10,7771.67,4.99424e+07,0.388747,
5844.00,541.876,4.2061e+06,1.0675e+10,7762.1,5.01754e+07,0.391918,
5875.00,552.446,4.28266e+06,1.0807e+10,7752.19,5.04158e+07,0.397553,
5906.00,561.505,4.34732e+06,1.09409e+10,7742.27,5.0656e+07,0.402134,
5934.00,568.842,4.39907e+06,1.10635e+10,7733.39,5.08726e+07,0.406005,
5941.00,570.887,4.41365e+06,1.10944e+10,7731.21,5.09267e+07,0.407829,
5942.00,571.846,4.42088e+06,1.10988e+10,7730.89,5.09345e+07,0.408214,
5965.00,573.641,4.43071e+06,1.12009e+10,7723.84,5.11122e+07,0.410047,
5995.00,586.696,4.52624e+06,1.13357e+10,7714.81,5.13437e+07,0.416668,
6026.00,591.57,4.53435e+06,1.14765e+10,7664.94,5.15825e+07,0.417955,
6056.00,590.694,4.43868e+06,1.16107e+10,7514.35,5.18096e+07,0.407475,
6087.00,592.549,4.38795e+06,1.17473e+10,7405.21,5.20406e+07,0.399046,
6118.00,595.324,4.35618e+06,1.18827e+10,7317.32,5.22685e+07,0.391423,
6148.00,598.434,4.33497e+06,1.2013e+10,7243.86,5.24867e+07,0.384317,
6179.00,601.894,4.319e+06,1.21471e+10,7175.69,5.27101e+07,0.377053,
6209.00,605.607,4.30897e+06,1.22765e+10,7115.13,5.29243e+07,0.370133,
6240.00,609.492,4.30074e+06,1.24099e+10,7056.27,5.31438e+07,0.363063,
