TIME,WBHP:A-35,WBHP:A-17,WBHP:A-13,WBHP:A-39A,WBHP:A-2AH,WBHP:A-5H,WBHP:A-10,WBHP:A-38,WBHP:A-1H,WGIR:A-35,WGIR:A-17,WGIR:A-13,WGIR:A-39A,WGIR:A-2AH,WGIR:A-5H,WGIR:A-10,WGIR:A-38,WGIR:A-1H,WGOR:A-35,WGOR:A-17,WGOR:A-13,WGOR:A-39A,WGOR:A-2AH,WGOR:A-5H,WGOR:A-10,WGOR:A-38,WGOR:A-1H,WGPT:A-35,WGPT:A-17,WGPT:A-13,WGPT:A-39A,WGPT:A-2AH,WGPT:A-5H,WGPT:A-10,WGPT:A-38,WGPT:A-1H,WGPR:A-35,WGPR:A-17,WGPR:A-13,WGPR:A-39A,WGPR:A-2AH,WGPR:A-5H,WGPR:A-10,WGPR:A-38,WGPR:A-1H,WOPT:A-35,WOPT:A-17,WOPT:A-13,WOPT:A-39A,WOPT:A-2AH,WOPT:A-5H,WOPT:A-10,WOPT:A-38,WOPT:A-1H,WOPR:A-35,WOPR:A-17,WOPR:A-13,WOPR:A-39A,WOPR:A-2AH,WOPR:A-5H,WOPR:A-10,WOPR:A-38,WOPR:A-1H,WPI1:A-35,WPI1:A-17,WPI1:A-13,WPI1:A-39A,WPI1:A-2AH,WPI1:A-5H,WPI1:A-10,WPI1:A-38,WPI1:A-1H,WWCT:A-35,WWCT:A-17,WWCT:A-13,WWCT:A-39A,WWCT:A-2AH,WWCT:A-5H,WWCT:A-10,WWCT:A-38,WWCT:A-1H,
365.00,0,0,0,0,289.29,348.374,267.43,0,252.038,0,0,0,0,0,0,0,0,0,0,0,0,0,100.849,0,100.353,0,96.3341,0,0,0,0,4.02627e+07,0,2.74429e+07,0,1.03284e+08,0,0,0,0,105882,0,111994,0,398626,0,0,0,0,397846,0,274289,0,1.05413e+06,0,0,0,0,1049.91,0,1116,0,4137.96,0,0,0,0,147.08,437.102,112.323,0,251.231,0,0,0,0,5.9542e-06,0,8.28712e-05,0,4.6151e-05,
372.00,0,0,0,0,301.213,332.795,277.336,0,262.174,0,0,0,0,0,0,0,0,0,0,0,0,0,100.849,0,100.368,0,96.3255,0,0,0,0,4.0278e+07,0,2.78001e+07,0,1.05262e+08,0,0,0,0,2192.44,0,51028.1,0,282600,0,0,0,0,397998,0,277848,0,1.07467e+06,0,0,0,0,21.7398,0,508.408,0,2933.81,0,0,0,0,146.494,438.026,111.963,0,250.075,0,0,0,0,2.04301e-06,0,6.67777e-05,0,3.92287e-05,
396.00,0,0,0,0,304.012,334.864,281.572,0,267.804,0,0,0,0,0,0,0,0,0,0,0,0,0,100.723,0,100.4,0,96.3429,0,0,0,0,4.03306e+07,0,2.9025e+07,0,1.12045e+08,0,0,0,0,2190.52,0,51040.1,0,282639,0,0,0,0,398520,0,290049,0,1.14508e+06,0,0,0,0,21.748,0,508.366,0,2933.68,0,0,0,0,146.047,442.548,111.622,0,248.948,0,0,0,0,6.18581e-07,0,5.26065e-05,0,3.1842e-05,
422.00,0,0,291.619,0,270.065,337.401,239.501,0,253.349,0,0,0,0,0,0,0,0,0,0,0,0,0,100.928,0,100.557,0,96.5013,0,0,0,0,4.66026e+07,0,3.72668e+07,0,1.22144e+08,0,0,0,0,241352,0,317138,0,388619,0,0,0,0,460714,0,372065,0,1.2498e+06,0,0,0,0,2391.33,0,3153.82,0,4027.08,0,0,0,0,147.474,446.874,113.185,0,251.526,0,0,0,0,0.000131129,0,0.00012118,0,4.4265e-05,
426.00,0,0,291.296,0,269.13,336.703,238.731,0,252.436,0,0,0,0,0,0,0,0,0,0,0,0,0,100.946,0,100.58,0,96.5239,0,0,0,0,4.75681e+07,0,3.85356e+07,0,1.23699e+08,0,0,0,0,241367,0,317189,0,388684,0,0,0,0,470278,0,384680,0,1.26591e+06,0,0,0,0,2391.06,0,3153.59,0,4026.81,0,0,0,0,147.027,447.544,113.254,0,251.77,0,0,0,0,0.000202229,0,0.000124395,0,4.55097e-05,
427.00,0,0,291.212,0,268.904,336.55,238.543,0,252.214,0,0,0,0,0,0,0,0,0,0,0,0,0,100.95,0,100.586,0,96.5295,0,0,0,0,4.78095e+07,0,3.88528e+07,0,1.24088e+08,0,0,0,0,241370,0,317202,0,388701,0,0,0,0,472669,0,387833,0,1.26994e+06,0,0,0,0,2390.98,0,3153.54,0,4026.76,0,0,0,0,146.894,447.62,113.27,0,251.842,0,0,0,0,0.000222621,0,0.000125177,0,4.59119e-05,
449.00,0,0,286.749,0,261.572,333.838,235.016,0,247.279,0,0,0,0,0,0,0,0,0,0,0,98.6146,0,100.978,0,100.861,0,96.6482,0,0,675076,0,5.34223e+07,0,4.57619e+07,0,1.32765e+08,0,0,30690.1,0,254777,0,314458,0,394562,0,0,6847.12,0,528256,0,456462,0,1.35976e+06,0,0,311.213,0,2523.09,0,3117.74,0,4082.46,0,0,612.73,0,137.676,451.126,113.54,0,253.098,0,0,9.26758e-05,0,0.00321631,0,0.000141115,0,5.45278e-05,
453.00,0,0,286.242,0,260.403,333.26,234.412,0,246.551,0,0,0,0,0,0,0,0,0,0,0,98.6236,0,100.976,0,101.581,0,96.668,0,0,797844,0,5.44404e+07,0,4.7026e+07,0,1.34343e+08,0,0,30692.1,0,254526,0,316019,0,394620,0,0,8091.94,0,538338,0,468906,0,1.37609e+06,0,0,311.205,0,2520.65,0,3111,0,4082.22,0,0,612.957,0,134.41,451.751,113.374,0,253.294,0,0,9.52051e-05,0,0.00442595,0,0.000143907,0,5.5729e-05,
456.00,0,0,285.864,0,259.497,332.845,233.949,0,246.02,0,0,0,0,0,0,0,0,0,0,0,98.6303,0,100.974,0,101.816,0,96.6827,0,0,889925,0,5.52032e+07,0,4.79756e+07,0,1.35527e+08,0,0,30693.6,0,254266,0,316526,0,394663,0,0,9025.53,0,545893,0,478233,0,1.38834e+06,0,0,311.199,0,2518.12,0,3108.81,0,4082.05,0,0,613.124,0,131.71,452.174,113.293,0,253.445,0,0,9.70916e-05,0,0.00567636,0,0.000145932,0,5.65942e-05,
486.00,0,0,266.284,0,255.841,338.393,227.226,0,242.31,0,0,0,0,0,0,0,0,0,0,0,99.0598,0,100.929,0,104.048,0,96.8061,0,0,7.34316e+06,0,6.22883e+07,0,5.78734e+07,0,1.47541e+08,0,0,215361,0,233321,0,331643,0,400603,0,0,74281.2,0,616079,0,574078,0,1.5125e+06,0,0,2174.05,0,2311.75,0,3187.39,0,4138.2,0,0,620.616,0,104.956,457.476,112.028,0,254.48,0,0,0.000181398,0,0.0357184,0,0.000172635,0,6.15183e-05,
