TIME,FGOR,FGPR,FGPT,FOPR,FOPT,FWCT,
3623.00,91.8003,65184.5,1.2283e+09,710.068,1.25347e+07,0.612827,
3653.00,97.3542,82788.8,1.23088e+09,850.388,1.25602e+07,0.678376,
3684.00,99.29,229658,1.23791e+09,2313,1.2633e+07,0.486909,
3715.00,97.3239,188704,1.24383e+09,1938.93,1.26932e+07,0.577311,
3743.00,99.7529,138784,1.24772e+09,1391.28,1.27322e+07,0.652115,
3774.00,102.354,270459,1.256e+09,2642.38,1.28145e+07,0.514541,
3804.00,144.065,511786,1.27155e+09,3552.47,1.29201e+07,0.451182,
3835.00,116.788,378117,1.28365e+09,3237.62,1.30212e+07,0.362275,
3865.00,114.366,436120,1.29769e+09,3813.36,1.31387e+07,0.423682,
3896.00,114.984,317040,1.30778e+09,2757.27,1.32266e+07,0.505507,
3927.00,105.143,208155,1.31432e+09,1979.74,1.32889e+07,0.514007,
3957.00,75.0591,33541.6,1.31532e+09,446.87,1.33027e+07,0.539286,
3988.00,95.7522,197506,1.32148e+09,2062.68,1.33664e+07,0.581972,
4018.00,122.519,356282,1.33203e+09,2907.96,1.34549e+07,0.567657,
4049.00,104.35,211670,1.33873e+09,2028.45,1.35188e+07,0.643099,
4080.00,107.307,241207,1.34616e+09,2247.81,1.3589e+07,0.626715,
4108.00,111.179,187691,1.35133e+09,1688.19,1.36364e+07,0.670924,
4139.00,115.721,176136,1.35698e+09,1522.07,1.36834e+07,0.70591,
4169.00,111.8,216449,1.36404e+09,1936.04,1.37421e+07,0.645423,
4200.00,98.995,163695,1.3693e+09,1653.56,1.37939e+07,0.644643,
4230.00,85.2498,57441.5,1.37098e+09,673.802,1.38149e+07,0.642241,
4261.00,147.741,383497,1.38275e+09,2595.74,1.38899e+07,0.62072,
4292.00,98.5554,143244,1.38717e+09,1453.44,1.39363e+07,0.627001,
4322.00,92.9733,137125,1.39134e+09,1474.88,1.39803e+07,0.627486,
4353.00,90.4896,142548,1.39578e+09,1575.29,1.40286e+07,0.627043,
4383.00,100.219,114321,1.39921e+09,1140.71,1.40627e+07,0.726268,
4414.00,95.9276,114530,1.40289e+09,1193.92,1.40999e+07,0.720122,
4445.00,93.6052,113697,1.4066e+09,1214.64,1.41377e+07,0.740021,
4473.00,107.889,131824,1.41015e+09,1221.85,1.41733e+07,0.736787,
4504.00,97.8898,115612,1.41376e+09,1181.04,1.42107e+07,0.761676,
