TIME,FGOR,FGPR,FGPT,FOPR,FOPT,FWCT,
2800.00,106.218,126918,1.03363e+09,1194.89,1.07157e+07,0.506636,
2831.00,100.97,108139,1.03697e+09,1071,1.07488e+07,0.371757,
2861.00,103.603,205934,1.04313e+09,1987.72,1.08085e+07,0.349039,
2892.00,104.837,220557,1.05e+09,2103.8,1.08738e+07,0.355276,
2922.00,104.176,229788,1.05689e+09,2205.77,1.094e+07,0.353824,
2953.00,104.275,235474,1.06421e+09,2258.21,1.101e+07,0.340351,
2984.00,103.649,243335,1.07179e+09,2347.67,1.10827e+07,0.335368,
3012.00,99.8674,219186,1.0776e+09,2194.77,1.11407e+07,0.340551,
3043.00,99.6976,222985,1.08454e+09,2236.61,1.12103e+07,0.356471,
3073.00,101.385,232960,1.09151e+09,2297.78,1.12793e+07,0.344749,
3104.00,102.413,237784,1.09885e+09,2321.8,1.13512e+07,0.33809,
3134.00,109.513,297050,1.10774e+09,2712.46,1.14325e+07,0.303335,
3165.00,115.453,342898,1.11832e+09,2970.03,1.15247e+07,0.28528,
3196.00,96.8616,172004,1.12367e+09,1775.77,1.15796e+07,0.278317,
3226.00,111.891,300224,1.13261e+09,2683.17,1.16603e+07,0.272244,
3257.00,121.437,376281,1.14418e+09,3098.56,1.17571e+07,0.304446,
3287.00,121.387,366524,1.1551e+09,3019.46,1.18479e+07,0.27949,
3318.00,103.974,313374,1.16529e+09,3013.96,1.19459e+07,0.305514,
3341.00,104.048,282316,1.17191e+09,2713.32,1.20098e+07,0.331522,
3349.00,104.154,278413,1.17414e+09,2673.08,1.20313e+07,0.342979,
3378.00,113.929,361183,1.18482e+09,3170.25,1.21253e+07,0.394728,
3409.00,103.899,256588,1.19283e+09,2469.6,1.22024e+07,0.396449,
3439.00,116.29,348259,1.20331e+09,2994.74,1.22934e+07,0.406348,
3470.00,108.264,269670,1.21166e+09,2490.85,1.2371e+07,0.41784,
3500.00,111.233,296206,1.2206e+09,2662.94,1.24512e+07,0.438603,
3531.00,115.262,311924,1.23027e+09,2706.21,1.25356e+07,0.427619,
3558.00,122.052,344061,1.23956e+09,2818.96,1.26124e+07,0.426228,
