TIME,WBHP:A-1H,WBHP:A-2AH,WBHP:A-3H,WBHP:A-5H,WBHP:N-1,WBHP:N-3,WBHP:N-4,WGIR:A-1H,WGIR:A-2AH,WGIR:A-3H,WGIR:A-5H,WGIR:N-1,WGIR:N-3,WGIR:N-4,WGOR:A-1H,WGOR:A-2AH,WGOR:A-3H,WGOR:A-5H,WGOR:N-1,WGOR:N-3,WGOR:N-4,WGPT:A-1H,WGPT:A-2AH,WGPT:A-3H,WGPT:A-5H,WGPT:N-1,WGPT:N-3,WGPT:N-4,WGPR:A-1H,WGPR:A-2AH,WGPR:A-3H,WGPR:A-5H,WGPR:N-1,WGPR:N-3,WGPR:N-4,WOPT:A-1H,WOPT:A-2AH,WOPT:A-3H,WOPT:A-5H,WOPT:N-1,WOPT:N-3,WOPT:N-4,WOPR:A-1H,WOPR:A-2AH,WOPR:A-3H,WOPR:A-5H,WOPR:N-1,WOPR:N-3,WOPR:N-4,WPI1:A-1H,WPI1:A-2AH,WPI1:A-3H,WPI1:A-5H,WPI1:N-1,WPI1:N-3,WPI1:N-4,WWCT:A-1H,WWCT:A-2AH,WWCT:A-3H,WWCT:A-5H,WWCT:N-1,WWCT:N-3,WWCT:N-4,
360.00,177.589,192.046,308.729,215.382,280.414,282.094,284.527,0,0,0,0,0,0,0,160.613,330.391,0,0,91.2551,92.5814,89.2328,1.40954e+08,8.64397e+07,0,0,6.61432e+07,6.72626e+07,6.45666e+07,481839,495587,0,0,182510,185163,178466,1.08e+06,540000,0,0,720000,720000,720000,3000,1500,0,0,2000,2000,2000,211.786,114.534,0,0,1086.14,1345.14,1952.84,0.000229149,0.000361122,0,0,0.0161109,8.36529e-05,5.62243e-05,
365.00,176.556,190.878,308.715,214.389,280.185,281.907,284.342,0,0,0,0,0,0,0,161.153,348.596,0,0,91.2423,92.5644,89.2246,1.43371e+08,8.90542e+07,0,0,6.70556e+07,6.81882e+07,6.54588e+07,483459,522894,0,0,182485,185129,178449,1.095e+06,547500,0,0,730000,730000,730000,3000,1500,0,0,2000,2000,2000,211.156,113.382,0,0,1085.21,1345.21,1953.08,0.000232341,0.000369219,0,0,0.0164587,8.44075e-05,5.67764e-05,
372.00,175.086,189.26,308.694,212.992,279.865,281.647,284.083,0,0,0,0,0,0,0,162.058,376.047,0,0,91.2252,92.5407,89.2139,1.46769e+08,9.29257e+07,0,0,6.83328e+07,6.94839e+07,6.67079e+07,486174,564071,0,0,182450,185081,178428,1.116e+06,558000,0,0,744000,744000,744000,3000,1500,0,0,2000,2000,2000,210.246,111.704,0,0,1084.03,1345.31,1953.43,0.000236915,0.000381147,0,0,0.016929,8.54579e-05,5.7498e-05,
396.00,169.697,183.373,308.622,207.989,278.78,280.766,283.216,0,0,0,0,0,0,0,169.306,477.42,0,0,91.1675,92.46,89.1733,1.58739e+08,1.08619e+08,0,0,7.27099e+07,7.39235e+07,7.0989e+07,507917,716130,0,0,182335,184920,178347,1.188e+06,594000,0,0,792000,792000,792000,3000,1500,0,0,2000,2000,2000,206.615,105.898,0,0,1079.97,1345.65,1954.43,0.000254172,0.000425825,0,0,0.0185061,8.90207e-05,6.08101e-05,
422.00,163.231,176.258,308.541,202.209,277.628,279.826,282.299,0,0,0,0,0,0,0,179.948,611.526,0,0,91.1071,92.3732,89.1333,1.72415e+08,1.30228e+08,0,0,7.74488e+07,7.87288e+07,7.56247e+07,539844,917290,0,0,182214,184746,178267,1.266e+06,633000,0,0,844000,844000,844000,3000,1500,0,0,2000,2000,2000,202.453,99.0122,0,0,1075.92,1346.01,1955.57,0.000275498,0.000485091,0,0,0.020243,9.28085e-05,6.3999e-05,
426.00,162.175,175.073,308.528,201.273,277.453,279.683,282.16,0,0,0,0,0,0,0,181.784,633.964,0,0,91.0977,92.3599,89.1265,1.74597e+08,1.34031e+08,0,0,7.81776e+07,7.94676e+07,7.63377e+07,545353,950946,0,0,182195,184720,178253,1.278e+06,639000,0,0,852000,852000,852000,3000,1500,0,0,2000,2000,2000,201.766,97.9691,0,0,1075.33,1346.06,1955.71,0.00027902,0.000495138,0,0,0.0205111,9.33844e-05,6.46263e-05,
427.00,161.912,174.804,308.525,201.057,277.408,279.647,282.125,0,0,0,0,0,0,0,182.276,639.524,0,0,91.0951,92.3565,89.1255,1.75144e+08,1.34991e+08,0,0,7.83598e+07,7.96523e+07,7.6516e+07,546828,959286,0,0,182190,184713,178251,1.281e+06,640500,0,0,854000,854000,854000,3000,1500,0,0,2000,2000,2000,201.597,97.7102,0,0,1075.2,1346.08,1955.77,0.000279938,0.000497664,0,0,0.0205767,9.3528e-05,6.47185e-05,
449.00,155.659,167.903,308.453,195.626,276.456,278.865,281.363,0,0,0,0,0,0,0,194.891,769.815,0,0,91.0464,92.2837,89.0915,1.87658e+08,1.58666e+08,0,0,8.23667e+07,8.37141e+07,8.04366e+07,584674,1.15472e+06,0,0,182093,184567,178183,1.347e+06,673500,0,0,898000,898000,898000,3000,1500,0,0,2000,2000,2000,197.365,92.5261,0,0,1072.15,1346.37,1956.7,0.000301515,0.000556127,0,0,0.0220034,9.66778e-05,6.74435e-05,
453.00,154.443,166.595,308.439,194.599,276.284,278.724,281.226,0,0,0,0,0,0,0,197.489,793.583,0,0,91.0376,92.2705,89.0848,1.90028e+08,1.63428e+08,0,0,8.3095e+07,8.44523e+07,8.11493e+07,592467,1.19037e+06,0,0,182075,184541,178170,1.359e+06,679500,0,0,906000,906000,906000,3000,1500,0,0,2000,2000,2000,196.488,91.635,0,0,1071.59,1346.42,1956.85,0.000305929,0.000567423,0,0,0.0222636,9.72472e-05,6.8086e-05,
456.00,153.515,165.607,308.429,193.841,276.156,278.618,281.123,0,0,0,0,0,0,0,199.671,811.455,0,0,91.031,92.2606,89.0809,1.91825e+08,1.67079e+08,0,0,8.36411e+07,8.50058e+07,8.16838e+07,599012,1.21718e+06,0,0,182062,184521,178162,1.368e+06,684000,0,0,912000,912000,912000,3000,1500,0,0,2000,2000,2000,195.793,90.9704,0,0,1071.17,1346.46,1956.99,0.000309369,0.000576055,0,0,0.022458,9.76787e-05,6.83522e-05,
